frame_index,time_seconds,fish_name,x_cm,y_cm,z_cm
44,0.3142857142857143,fish2,24.99,23.87,1.19
45,0.32142857142857145,fish2,24.96,23.93,1.19
46,0.32857142857142857,fish2,24.95,23.99,1.18
47,0.3357142857142857,fish2,24.96,24.06,1.18
48,0.34285714285714286,fish2,24.94,24.1,1.18
49,0.35,fish2,24.91,24.15,1.17
50,0.35714285714285715,fish2,24.88,24.21,1.17
51,0.36428571428571427,fish2,24.88,24.29,1.17
52,0.37142857142857144,fish2,24.85,24.34,1.16
53,0.37857142857142856,fish2,24.88,24.4,1.17
54,0.38571428571428573,fish2,24.92,24.47,1.18
55,0.39285714285714285,fish2,24.95,24.51,1.19
56,0.4,fish2,24.95,24.52,1.19
57,0.40714285714285714,fish2,24.97,24.53,1.19
58,0.4142857142857143,fish2,25.05,24.56,1.2
59,0.42142857142857143,fish2,25.16,24.56,1.2
60,0.42857142857142855,fish2,25.28,24.6,1.21
61,0.4357142857142857,fish2,25.44,24.63,1.22
62,0.44285714285714284,fish2,25.57,24.7,1.22
63,0.45,fish2,25.68,24.76,1.22
64,0.45714285714285713,fish2,25.74,24.81,1.2
65,0.4642857142857143,fish2,25.83,24.86,1.19
66,0.4714285714285714,fish2,25.91,24.89,1.19
67,0.4785714285714286,fish2,26.01,24.9,1.19
68,0.4857142857142857,fish2,26.12,24.94,1.2
69,0.4928571428571429,fish2,26.21,24.95,1.2
70,0.5,fish2,26.3,24.99,1.2
71,0.5071428571428571,fish2,26.38,25.02,1.19
72,0.5142857142857142,fish2,26.46,25.05,1.19
73,0.5214285714285715,fish2,26.56,25.09,1.2
74,0.5285714285714286,fish2,26.66,25.13,1.21
75,0.5357142857142857,fish2,26.77,25.16,1.22
76,0.5428571428571428,fish2,26.88,25.2,1.21
77,0.55,fish2,26.98,25.22,1.21
78,0.5571428571428572,fish2,27.07,25.25,1.2
79,0.5642857142857143,fish2,27.15,25.27,1.18
80,0.5714285714285714,fish2,27.21,25.29,1.17
81,0.5785714285714286,fish2,27.29,25.32,1.16
82,0.5857142857142857,fish2,27.34,25.35,1.14
83,0.5928571428571429,fish2,27.39,25.38,1.12
84,0.6,fish2,27.44,25.4,1.11
85,0.6071428571428571,fish2,27.52,25.41,1.12
86,0.6142857142857143,fish2,27.61,25.41,1.14
87,0.6214285714285714,fish2,27.7,25.41,1.15
88,0.6285714285714286,fish2,27.79,25.42,1.15
89,0.6357142857142857,fish2,27.88,25.44,1.15
90,0.6428571428571429,fish2,27.94,25.45,1.13
91,0.65,fish2,27.98,25.48,1.13
92,0.6571428571428571,fish2,28.03,25.49,1.11
93,0.6642857142857143,fish2,28.08,25.53,1.1
94,0.6714285714285714,fish2,28.15,25.58,1.09
95,0.6785714285714286,fish2,28.21,25.62,1.08
96,0.6857142857142857,fish2,28.3,25.65,1.07
97,0.6928571428571428,fish2,28.37,25.69,1.06
98,0.7,fish2,28.43,25.71,1.06
99,0.7071428571428572,fish2,28.49,25.73,1.07
100,0.7142857142857143,fish2,28.54,25.74,1.07
